onset_idx,offset_idx,onset_time,offset_time,amplitude,duration
6404,6416,25.681303,25.724325,9.885300895774494,0.04302200000000056
6419,6421,25.742735,25.744305,16.446239912210935,0.0015700000000009595
6423,6431,25.754296,25.784274,0.44235022606527513,0.029977999999999838
6433,6434,25.794265,25.797157,36.849124670743535,0.0028919999999992285
6437,6450,25.814246,25.864236,33.57778581145576,0.049989999999997536
6453,6489,25.874228,26.014141,4.893490062572928,0.13991299999999995
6492,6493,26.031739,26.034127,9.812313998237114,0.0023879999999998347
6497,6498,26.051327,26.054105,9.784801122148574,0.002777999999999281
6502,6504,26.070915,26.074091,9.829518197755169,0.0031759999999998456
6507,6508,26.090503,26.094103,9.794419329393651,0.003600000000002268
6510,6518,26.104095,26.134072,38.0806827669883,0.02997699999999881
6520,6525,26.144063,26.164051,38.0806827669883,0.01998800000000145
6527,6534,26.17215,26.194053,0.6239390995922599,0.021903000000001782
6539,6540,26.214974,26.224026,1.103,0.009051999999996951
6543,6547,26.234021,26.253999,0.45453850221955894,0.019978000000001828
6549,6555,26.257248,26.283982,9.819273140105636,0.026734000000001146
6558,6560,26.293968,26.303958,4.9285261742228785,0.009990000000001942
6564,6567,26.316161,26.333998,9.864011861306738,0.017837000000000103
6569,6571,26.335801,26.343956,9.868275077236143,0.00815499999999858
6574,6576,26.355441,26.363945,9.857052348445757,0.008504000000002065
6578,6585,26.373931,26.403908,0.916202777773567,0.029977000000002363
6589,6590,26.418172,26.42389,0.926636929978511,0.005718000000001666
6593,6596,26.433885,26.443877,36.756531392393384,0.009992000000000445
6599,6615,26.460902,26.52384,0.9681554627228005,0.06293799999999905
6617,6621,26.533831,26.54382,0.8828730429682401,0.009989000000000914
6624,6626,26.561331,26.563808,9.90007701990242,0.002477000000002505
6629,6636,26.580915,26.603803,9.864011861306738,0.022887999999998243
6639,6651,26.621013,26.663752,0.6418298294719559,0.04273899999999742
6653,6665,26.673744,26.723735,0.8585457471794965,0.04999100000000212
6667,6671,26.733724,26.743714,36.93124964037908,0.009990000000001942
6673,6681,26.753706,26.783683,16.808144603138086,0.02997699999999881
6683,6687,26.793675,26.803666,33.40751562148853,0.009990999999999417
6693,6694,26.833674,26.833674,33.67569640734991,0.0
6697,6698,26.844665,26.853652,9.90007701990242,0.008987000000001188
6702,6706,26.864105,26.883633,9.902787334887082,0.0195280000000011
6709,6711,26.893619,26.90361,4.916098707308469,0.009990999999999417
6714,6716,26.913606,26.92363,0.8822683151966866,0.010023999999997812
