subject_id,trial_type,eeg_alpha,eeg_beta,eeg_theta,gsr_mean,ppg_mean,blink_rate,cognitive_load
sub-03,Stimulus/S 13,2.1347377342334202e-09,5.264043108297002e-10,2.6651033716751047e-08,0.5684233075289451,2712.8106935668425,20.0,0
sub-03,Stimulus/S 21,3.0015689179734857e-10,5.97204935896128e-11,4.188525325672204e-09,0.5821643516857068,2719.2274983988377,20.0,0
sub-03,Stimulus/S 21,1.1163836483048447e-09,2.716227156514626e-10,9.932883288488372e-09,0.5855156463016662,2712.527682532492,20.0,0
sub-03,Stimulus/S 21,2.7771910549157244e-10,6.034389468634759e-11,2.4589000857632376e-09,0.589619133359818,2710.9295365123567,21.0,0
sub-03,Stimulus/S 21,6.549109272901641e-11,2.1283564253697685e-11,1.0702351514777932e-09,0.5932256180892673,2713.498554462947,20.0,0
sub-03,Stimulus/S 21,1.5110738876430822e-10,2.8030875152221602e-11,1.7146091890993443e-09,0.5954201058786054,2712.80457776181,19.0,0
sub-03,Stimulus/S 22,2.944301402147314e-11,8.826478158008297e-12,2.0237650144808332e-10,0.5958146346982972,2713.708515009919,18.5,0
sub-03,Stimulus/S 22,1.2860249113902104e-09,1.9065510456089304e-10,1.0281396999130033e-08,0.5945774472614909,2713.0398304720693,18.75,0
sub-03,Stimulus/S 22,5.210431837249872e-10,5.201017011396056e-10,1.0524453258665875e-09,0.5971705249118018,2714.9461224537617,20.75,0
sub-03,Stimulus/S 22,2.4649139250139033e-08,2.69570233317925e-09,3.734376287629001e-08,0.593445799226196,2717.8161182360664,19.25,0
sub-03,Stimulus/S 22,2.628002043697351e-09,1.1432387934390715e-09,1.0779362531755052e-08,0.5903519323187392,2716.8559134142242,19.5,0
sub-03,Stimulus/S 22,1.3231479896806838e-08,3.5963576295642675e-09,3.149556952594855e-08,0.5923026235542783,2713.3353054802706,19.5,0
sub-03,Stimulus/S 22,1.5517450780054386e-08,4.4503338043894495e-09,4.593704869422279e-08,0.5898889140229439,2716.7822905113567,20.25,0
