subject,blink_rate,alpha_power
sub-05,6.000900135020267,2.829703021646787e-06
sub-05,0.0,3.1205988860438435e-06
sub-05,6.000900135020249,2.9385194760455617e-06
sub-05,0.0,3.074437638891373e-06
sub-05,0.0,3.1837799476750418e-06
sub-05,3.0004500675101333,3.0704105039898867e-06
sub-05,0.0,3.2157805599524293e-06
sub-05,3.000300030003002,3.1140433333405404e-06
sub-05,0.0,3.116015762755322e-06
sub-05,3.000300030003002,3.183841457402713e-06
sub-05,3.0,2.7138949502886206e-06
sub-05,3.0009002700810283,3.1317295934679257e-06
sub-05,9.001350202530347,3.0771567131053632e-06
sub-05,0.0,2.927488195144805e-06
sub-05,6.000600060006021,3.0446043721756672e-06
sub-05,3.0003000300029936,3.031567146759979e-06
sub-05,0.0,3.14569694136016e-06
sub-05,3.0003000300029936,3.0611112876472126e-06
sub-05,3.0004500675101333,3.1834267951911633e-06
sub-05,12.001800270040462,3.4268514942506165e-06
sub-05,6.000900135020267,3.166393162548352e-06
sub-05,0.0,3.179254516844356e-06
sub-05,0.0,3.819091323754118e-06
sub-05,0.0,4.409132960196198e-06
sub-05,0.0,4.636053225968297e-06
sub-05,5.88119976475201,3.068346393136129e-06
sub-05,0.0,4.088260642599577e-06
sub-05,0.0,2.2228367264487815e-06
sub-05,0.0,3.0065815620780676e-06
sub-05,0.0,3.304769962033592e-06
sub-05,9.001350202530347,3.7585347584828903e-06
sub-05,9.000900090009031,3.6692623703194295e-06
sub-05,3.0004500675101156,3.879138696440566e-06
sub-05,0.0,3.6802846325386904e-06
sub-05,0.0,3.678955015042217e-06
sub-05,3.0004500675101156,4.0126150546942436e-06
sub-05,3.0004500675101333,3.8647983153541705e-06
sub-05,3.0003000300029936,3.973592150676653e-06
sub-05,12.001800270040533,3.829672780487261e-06
sub-05,15.002250337550665,5.31671177785265e-06
